Himno del abogado,Alirio Abreu,1,SCTB - Himno,Estante 1 - G1
La guacharaca,I. capriles,2,SAT - Aire de joropo,Estante 1 - G1
Dame una ilusion,Modesta Bor,1,SCTB- Vals Lento,Estante 1 - G1
America Insurrecta,Anónimo,1,SCTB,Estante 1 - G1
Dadme Albricias,Anónimo,1,SCTB,Estante 1 - G1
Espera,H. Oramatges,1,SCTB,Estante 1 - G1
Doña Ubensa,Chacho Echenique,1,SCTB - Huayna,Estante 1 - G1
Del prado vengo,Vivian Tabbush,1,SCTB - Huayna,Estante 1 - G1
Dulce embeleso,Miguel Garcia,1,SCTB - Bolero,Estante 1 - G1
Dona'm la mia,Josep Criville',1,SCTB - Madrigal italiano,Estante 1 - G1
Nocturno,Eduardo Plaza,1,SSA - A Capella,Estante 1 - G1
Dos cantos ,Gerardo Guevara,1,SCTB - Popular ecuador,Estante 1 - G1
El rio Guadalquivir,Vicente Emilio Sojo,1,SCTB - Madrigal,Estante 1 - G1
El alcavaran ,Simón Díaz,2,SCTB - Popular,Estante 1 - G1
Eres alta y delgada,Ansel Barja,1,SCTB - Popular,Estante 1 - G1
Caramba,Vicente Emilio Sojo,1,SCTB - Merengue,Estante 1 - G1
Eres como la nieve,Cristobal Haltfeen,1,SCTB,Estante 1 - G1
Bambuco,Leoncio Ramirez,12,SCTB,Estante 1 - G1
"Innsbruck, ich mub dich lassen",Heirinch Isaac,1,SCTB,Estante 1 - G1
A tu lado,Javier Busto,15,SCTB - Habanera,Estante 1 - G1
Athens ,Luca Marangro,2,Madrigal,Estante 1 - G1
Amanecer ,Vicente Emilio Sojo,4,Madrigal,Estante 1 - G1
Acidito,Anónimo,50,Merengue,Estante 1 - G1
Coplas de cuna,Emma Perez,50,SCTB,Estante 1 - G1
Adios Mariposita,E. Castellano,1,SCTB - Madrigal,Estante 1 - G1
Hay luces entre los arboles,Fernando Paz,1,SCTB - Madrigal,Estante 1 - G1
La cachua,Veto Valderrama,1,SCTB - Madrigal,Estante 1 - G1
Annelein,Orlando Di Lasso,1,SCTB - Cancion Alemana,Estante 1 - G1
Beautiful Dreamer,Roger Luagne,1,SCTB,Estante 1 - G1
Carimbo,Arranjo Ennert,1,SCTB,Estante 1 - G1
Gloria,Athos palma,1,SCTB,Estante 1 - G1
Gloria,Anónimo,20,SCTB,Estante 1 - G1
Alleluia ,William B.,1,SCTB,Estante 1 - G1
Exsultate Iusti In Domino,Juan Gutierrez,1,SCTB,Estante 1 - G1
Eram Guasi Agnus,Anónimo,1,SCTB,Estante 1 - G1
Agnus Dei ,"Willia, Byrd",1,SCTB,Estante 1 - G1
Aquí te amo ,Pablo Nerudo,1,SCTB - Madrigal,Estante 1 - G1
Jerusalem,William Blake,5,SCTB,Estante 1 - G1
Dios Inmortal ,F. Guerrero,1,SCTB,Estante 1 - G1
Jacob Arcadelt,Anónimo,3,SCTB - Madrigal,Estante 1 - G1
La barca de oro ,Francisco Zapato,1,SCTB,Estante 1 - G1
Dedicatione ,Anónimo,1,SCTB,Estante 1 - G1
Alma dei Creatoris,Wolfgang Amadeus Mozart,1,SCTB,Estante 1 - G1
Ein Festa bung Ist Unser Gott,Jungere Leipziger Fassung,1,SCTB,Estante 1 - G1
Egli Eil Tuo Bon Jesu,Fra' Dionisius,20,SCTB,Estante 1 - G1
"Avec Du Vin, Endormons nous",Rameau,1,SCTB,Estante 1 - G1
Ehre sei de christe,Anónimo,1,SCTB,Estante 1 - G1
Canto de Ossanha,Anónimo,1,SCTB,Estante 1 - G1
A song of peace,Jean Sibelius,3,SCTB,Estante 1 - G1
Virga Jesse,Anton Bruckner,1,SCTB,Estante 1 - G1
Ave Maria,Anton Bruckner,1,SCTB,Estante 1 - G1
Os Susti,Anton Bruckner,1,SCTB,Estante 1 - G1
Chorus,Anónimo,1,SCTB,Estante 1 - G1
Graduale ,Anton Bruckner,1,SCTB,Estante 1 - G1
Lacrymosa - Domine jesu,Anónimo,1,SCTB,Estante 1 - G1
El gavilan,Alberto Grau,1,SCTB - Madrigal,Estante 1 - G1
El gavan,Rafael Suarez,1,SCTB - Madrigal,Estante 1 - G1
Alla va un encobijao,Antonio Lauro,3,SCTB,Estante 1 - G1
Bailao,Heitor Villa-Lobos,1,SCTB,Estante 1 - G1
Café tostao y colao,Gilberto Rebolledo,1,SCTB,Estante 1 - G1
El noi de la mara,Ernesto Cervera,1,SCTB - Popular,Estante 1 - G1
Brisas del torbe,Rafael Suarez,1,SCTB - Madrigal,Estante 1 - G1
Arco Iris,Modesta Bor,1,SCTB,Estante 1 - G1
Inquietud,Luis G. Sanchez,1,SCTB,Estante 1 - G1
La mañana ajena,Fernando Rodriguez,2,SCTB - Madrigal,Estante 1 - G1
En avila mis ojos,Salas Viu,1,SCTB - Madrigal,Estante 1 - G1
Gloria In Excelsis Deo,Diego Duarte,1,SCTB - Sacro,Estante 1 - G1
Cielo Elemental ,Gilberto Rebolledo,16,SCTB - Madrigal,Estante 1 - G1
La catuarera,Claudio Fermin,22,SCTB - Madrigal,Estante 1 - G1
Criollisima,Henry Martin,1,SCTB - Merengue,Estante 1 - G1
Josefina - Danza,Armando molero,50,SCTB - Danza,Estante 1 - G1
Canto a la vida,Fernando Rodriguez,35,SCTB - Madrigal,Estante 1 - G1
Cuando me quieres,Edgar Carrero,20,SCTB - Madrigal,Estante 1 - G1
Coplas de campo,Moises Moleiro,2,SCTB - Madrigal,Estante 1 - G1
Con triste voz,Anónimo,2,SCTB - Madrigal,Estante 1 - G1
Ti est bel et bon,Anónimo,1,SCTB,Estante 1 - G1
Du Friedefuist,Anónimo,14,SCTB,Estante 1 - G1
Christo al morir ,Fra' Marc Antonio,1,SCTB,Estante 1 - G1
Ave maria,J. arcadelt,9,SCTB,Estante 1 - G1
Ave Maria,Giovanni Pierluigi da Palestino,1,SCTB,Estante 1 - G1
Ave maria,Pedro,1,SCTB,Estante 1 - G1
Ave maria,T. Luis de vicotira,1,SCTB,Estante 1 - G1
Alta trinita beata,Satz,1,SCTB,Estante 1 - G1
Credo,Krysztof,1,SCTB,Estante 1 - G1
Der 42 psatm,Movimiento,20,SCTB - Movimiento,Estante 1 - G1
"Jesu, Meine Freude",Johann Sebastian Bach,20,SCTB,Estante 1 - G1
Jubilemus,Francois Couperin,1,SCTB,Estante 1 - G1
Ave Maria,Franz Bielx,20,SCTB,Estante 1 - G1
Ave Maria,Cesar Carrillo,1,Voces Oscuras,Estante 1 - G1
Ave Maria,Igor Stravinky,1,SCTB,Estante 1 - G1
Como las hojas blancas,Roberto Aguirre,1,SCTB,Estante 1 - G1
Ave Verum Corpus,Mozon,1,SCTB,Estante 1 - G1
Ave maria stella,Felice Anerio,1,SCTB - Gregoriano,Estante 1 - G1
Cantate Domino,Javier Busto,1,SCTB,Estante 1 - G1
Chorus,Anónimo,10,SCTB,Estante 1 - G1
Frihzeitiger frunling,Anónimo,1,SCTB,Estante 1 - G1
gato triste,cn. Bopohbke,1,SCTB,Estante 1 - G1
Ain' a thatgood nows',Willian L Dawson,1,SCTB,Estante 1 - G1
Gloria In Excelsis Deo,Anónimo,1,SCTB,Estante 1 - G1
La culebra,M. Morales,1,Popular,Estante 1 - G1
Espanto y la ternura,Silvio Rodriguez,1,Popular,Estante 1 - G1
Danza,Cesar Alejandro,1,Madrigal,Estante 1 - G1
Guajira Guantanamena,Anónimo,2,SCTB,Estante 1 - G1
Estote Fortes in Bello,Luis de Victoria,1,SCTB,Estante 1 - G1
Estidal,Zoltán Kodály,1,SCTB,Estante 1 - G1
Daltil sa iyo,Miguek Velarde,1,SCTB - Bolero,Estante 1 - G1
Cabaret,John Kordier,1,SCTB,Estante 1 - G1
Canciones populares argentinas,Juan Carlos Logurre,1,SCTB,Estante 1 - G1
De camargo ,Carlos Guasteriro,1,SCTB,Estante 1 - G1
Cancion de cuna para camila,Luis F. Moncada,20,SCTB,Estante 1 - G1
El tejedor,Mario Gajardo,1,SCTB,Estante 1 - G1
El que siembra su maiz,E. Silva,1,SCTB,Estante 1 - G1
"Allons, grey",Costeley,1,SCTB,Estante 1 - G1
Al ritmo de la habanera,Romo raventos,1,SCTB,Estante 1 - G1
Hymn to the creator of light,John Butter,2,SCTB,Estante 1 - G1
Dara la notte il sol,Anónimo,1,SCTB,Estante 1 - G1
Bajaste del cielo en luz primorosa,Luis,5,SCTB - Aguinaldo,Estante 1 - G1
El canto de los pajaros,Anónimo,6,SCTB- Madrigal,Estante 1 - G1
Fantasia Coral,Ludwing von Beethowen,1,SCTB - Madrigal,Estante 1 - G1
Away in a mengar,Reginald Jecques,1,Tradicional,Estante 1 - G1
Exsultate deo,Alessandro Jeanlapti,1,SCTB - Sacro,Estante 1 - G1
"Dindirin, Dindirin",Anónimo,5,SCTB,Estante 1 - G1
"Fantasia coral, para piano y orquesta",Ludwing von Beethowen,1,Piano,Estante 1 - G1
Dormite miniño,Vicente Emilio Sojo,1,Cancion de cuna,Estante 1 - G1
Cancion de noche sin luna,Ruben Rivas,1,SCTB,Estante 1 - G1
Canco De L'ngtent,Josep Vila i Casañas,1,SCTB - Sacro,Estante 1 - G1
El piro,J. Tanietin,1,SCTB,Estante 1 - G1
La Baringueña,Felipe Astis,1,SCTB,Estante 1 - G1
El Becerrito,Simón Díaz,72,Voces Blancas - Popular(folklore),Estante1 - G2
Cancion,Javier Busto,16,Voces Blancas - Polpular - SSA,Estante1 - G2
Cancion de Cuna,Frank Fernandez,2,Voces Blancas - Popular,Estante1 - G2
Cancion de Cuna,Modesta Bor,1,Voces Blancas - Popular,Estante1 - G2
Chega de Saudade,Antonio Carlos Jobim - Vinicius de Moraes,6,Popular Brasileña - SSA,Estante1 - G2
Caballito,"Carlos Vives, adaptacion musical: Gilbert Martinez",1,Voces Blancas - Folklore Colombiano,Estante1 - G2
Carangueijó,Heitor Villa-Lobos,1,Voces Blancas - Popular Brasileña,Estante1 - G2
Comprame un perrito,Luis Fernando Moncada,1,Voces Blancas - Popular,Estante1 - G2
Cancion de la amistad coral,Anónimo,23,Voces Blancas - Popular - Canto Común,Estante1 - G2
Caracolitos chicos,Alberto Grau,1,Voces Blancas - Popular,Estante1 - G2
"Ahí, che quest´occhi miei",Giovanni Pierluigi da Palestino,50,SSA - Madrigal,Estante1 - G2
Cancion feliz,Luis Lizcano,1,Voces Blancas - Cumbia,Estante1 - G2
Cancion para la niña desvelada,"Ana Mercedes Azuaje, Arr: Modesta Bor",1,Popular - SSA - Madrigal Venezolana,Estante1 - G2
Cancion popular rusa,Arr: Modesta Bor,1,Voces Blancas - Popular Ruso,Estante1 - G2
Casate conmigo niña,Adrian Lobo,1,SSA - popular Española,Estante1 - G2
"Como compongo poco, ´toy loco",Alberto Grau,1,Voces Blancas - Popular,Estante1 - G2
Dame la mano,Vs: Edgar Quiñones,21,Voces Blancas - Popular - Canto Común,Estante1 - G2
Caballito de mar,Dante Andreo,1,SA - popular,Estante1 - G2
Cochinitos dormilones,Arr: Jesus Galvan,5,SSA - Vals,Estante1 - G2
Cancion de horario y minutero,Gilberto Rebolledo,22,Voces Blancas - Cancion infantil,Estante1 - G2
Canco de finestra,Josep Vila i Casañas,14,SSAA - Popular Cataluña,Estante1 - G2
Cabbage - tree hat,Arr: Donald Patriquin,7,SA+clarinete - Folklorica Australiana,Estante1 - G2
Caramba,Otilio Galindez,19,SSA - popular,Estante1 - G2
Chacurera trunca,Vivian Tabbush,30,SSA - Danza Tradicional Argentina,Estante1 - G2
Cantar del muchaho de piel de noche,Modesta Bor,25,SSA - Madrigal Venezolana,Estante1 - G2
A la nanita nana ,Luis Barrios,1,Voces Blancas - Navidad,Estante1 - G2
Al nacido el niño,Luis E Gailan,1,Voces Blancas - Navidad,Estante1 - G2
Hoy es nacido ,Anónimo,23,SCTB - Navidad,Estante1 - G2
Erraguzu Maria,Anónimo,6,SCTB - Navidad,Estante1 - G2
Con esta Parrandita,Modesta Bor,23,SCTB - Navidad,Estante1 - G2
Aguinaldo Margariteño,Modesta Bor,1,SCTB - Navidad,Estante1 - G2
Campanitas de cristal,Rafael Hernandez,35,SCTB - Navidad,Estante1 - G2
Cantemos a coro ,Guillermo Balza,3,SCTB - Navidad,Estante1 - G2
El niños Jesus Llanero,Simón Díaz,1,SCTB - Navidad,Estante1 - G2
El niño criollo ,Anónimo,1,SCTB - Navidad,Estante1 - G2
La Flor de Aragua,Lena Sanchez Bor,1,SCTB - Popular,Estante1 - G2
In Questa Notte Splendida,Claudio Chieff,2,SCTB,Estante1 - G2
El ponche andino,Gilberto Rebolledo,1,SCTB - Navidad,Estante1 - G2
Abreme la puerta,Modesta Bor,1,SCTB - Navidad,Estante1 - G2
El celestial ,Gilberto Rebolledo,1,SCTB - Navidad,Estante1 - G2
Cattle Drivers song of Nambu,Anónimo,1,Popular Japonesa,Estante1 - G2
I Want to walk as a child of the Light,Anónimo,1,SCTB - Navidad,Estante1 - G2
El cant Dels Ocells ,Pau Casals,22,Navidad,Estante1 - G2
Pero mira como beben,Miguel Asins Arbó,10,Navidad,Estante1 - G2
Hayaca Hago yo ,Gilberto Rebolledo,13,Navidad,Estante1 - G2
El decembre Congelat,Anónimo,1,Villancico Cataluño,Estante1 - G2
De contento,Rafael Izaza,1,Navidad,Estante1 - G2
Rey celestial,Anónimo,10,TTBB,Estante1 - G2
How Merrily We Live,Michael Heast,25,SCTB,Estante1 - G2
El Pauji,Nicolas Garcia,1,SCTB - Aguinaldo,Estante1 - G2
"Come, Marie, Elisabette",Halem Dickison,1,Navidad,Estante1 - G2
Esplendida noche ,Modesta Bor,1,Navidad,Estante1 - G2
Sortilegio,Hildebrando Rodriguez,1,SCTB - Vals,Estante1 - G2
Alla riva del tebro,Giovanni Pierluigi da Palestino,1,SCTB - Madrigal,Estante1 - G2
Azabache,Homero Esposito,14,Cambome,Estante1 - G2
El bucare,Luis Orlando,1,SCTB,Estante1 - G2
"Ay, Linda amiga",Anónimo,3,SCTB - Madrigal,Estante1 - G2
Hanacpachan Cussianoin,Anónimo,20,Himno Festividades,Estante1 - G2
Ah Coracao,Aglton Escobar,1,Brasilero,Estante1 - G2
Clara noche en el bosque,Johannes Brahms,1,Madrigal,Estante1 - G2
A tu regreso ,Henry Martinez,1,SCTB - Madrigal,Estante1 - G2
El dulce criollo,Gilberto Rebolledo,1,SCTB -Merengue,Estante1 - G2
Cachita,R. Hernandez,14,SCTB - Popular,Estante1 - G2
Chucho y Ceferina,Cony Mendez,2,SCTB - Merengue,Estante1 - G2
El abanico,Jordi Blanch,2,Habanera Popular,Estante1 - G2
Guireñita,Francisco Carreño,1,SCTB,Estante1 - G2
El canto de los bosques,D. Shostkovih,1,SCTB - Oratorio,Estante1 - G2
El manisero,Moises Simons,1,SCTB,Estante1 - G2
El negro feliz,Jose deli sosa,1,SCTB - Merengue,Estante1 - G2
Amicus Meos ,Anónimo,1,SCTB - Madrigal,Estante1 - G2
Tarea ,Modesta Bor,23,Voces Blancas,Estante1 - G2
Esta noche nace el niño,Dante Andreo,1,Voces Blancas - Navidad,Estante1 - G2
Blanco es el niño,Dante Andreo,2,Voces Blancas - Navidad,Estante1 - G2
Canticos de Navidad,Juan Orrego Salas,8,Voces Blancas - Navidad,Estante1 - G2
El niño Celestial,Lena Sanchez Bor,27,Voces Blancas - Navidad,Estante1 - G2
Al llegar aquí,Modesta Bor,10,Voces Blancas - Navidad,Estante1 - G2
Aleluya,Anónimo,7,Canticos de navidad,Estante1 - G2
Alumbra Cocuyito ,Gilberto Rebolledo,43,Voces Blancas - Navidad,Estante1 - G2
Danza,Anónimo,2,Canticos de navidad,Estante1 - G2
Aguinaldo Sencillo,Gilberto Rebolledo,1,Voces Blancas - Navidad,Estante1 - G2
El niño criollo ,Isabel Hernandez,26,Voces Blancas - Navidad,Estante1 - G2
Adoremos a Dios ,Anónimo,32,Navidad,Estante1 - G2
Cancion del aire en la altura,Anónimo,2,Popular,Estante1 - G2
Canto magico Camaracoto,Ruben Rivas,27,SCTB,Estante1 - G2
Donde estas niñito ,Luis Fernando Moncada,5,Navidad,Estante1 - G2
Ha nacido ,Julio Sanchez,19,Navidad,Estante1 - G2
La brillante Estrella ,Modesta Bor,24,Navidad,Estante1 - G2
La hayaca,Gilberto Rebolledo,33,Navidad,Estante1 - G2
Año viejo de mi barrio,Luis Fernando Moncada,23,Navidad,Estante1 - G2
Cancao de garua,Murillo Santos,14,Voces Blancas,Estante1 - G2
Kyrie,A. Diericx,8,Sacro - VB,Estante1 - G3
Misa Breve - Kyrie Eleison,Gabriel Fauré,20,Sacro - Mixto,Estante1 - G3
"Chorus: ""Laud we the name""",Johann Sebastian Bach,25,Sacro,Estante1 - G3
Adoramus te,Johannes Brahms,10,Sacro,Estante1 - G3
Ave Regina coelorum,Vytautas Miskinis,15,Sacro,Estante1 - G3
Cuatro cantos penitenciales,Javier Busto,25,Sacro,Estante1 - G3
Cry me a river,Anónimo,2,Sacro,Estante1 - G3
Do-don´t touch-a my garmet,Robert Shaw,1,Sacro,Estante1 - G3
Ev´ry time I feel the spirit,Moses Hogan,1,Sacro,Estante1 - G3
Got a mind to do right,David Morrow,7,Sacro,Estante1 - G3
Gloria tibi,Leonard Bernstein,1,Sacro,Estante1 - G3
In pace,Orlandus Lassus,2,Sacro,Estante1 - G3
Kum Ba Yah - Let us break bread together,Manfred Hilger,30,Sacro,Estante1 - G3
Despertar,Antonio Estevez,25,Sacro,Estante1 - G3
De los alamos vengo,Anónimo,1,Tono llanero - Mixto,Estante1 - G3
Dalaman,Michael McGlynn,1,Madrigal,Estante1 - G3
Bolero de Mastropiero,Jorge Maronna,20,Bolero,Estante1 - G3
Amen,Benjamin Cooke,25,Sacro - Voces Oscuras,Estante1 - G3
Gaudeamus igitur,Johannes Brahms,5,Sacro - Voces Oscuras,Estante1 - G3
La madrugada,Eduardo Plaza,8,Madrigal,Estante1 - G3
Come again,John Dowland,2,Popular - Voces oscuras,Estante1 - G3
August,Michael McGlynn,5,Popular,Estante1 - G3
"Dir, seele des weltalls",Wolfgang Amadeus Mozart,1,Mixto - Voces Oscuras,Estante1 - G3
Ave vérum,Wolfgang Amadeus Mozart,1,Sacro - Mixto (solo),Estante1 - G3
Ascendit deus,Carlo Carturran,10,Sacro,Estante1 - G3
Adoramus te,O. Ravanello,40,Sacro,Estante1 - G3
A song of st. Francis,Michael Hurt,10,Popular,Estante1 - G3
Ave Maria,Eduardo Plaza,30,Sacro - Mixto,Estante1 - G3
Ave Maria,Antonio Estevez,10,Sacro - Mixto,Estante1 - G3
Agnus Dei ,A. Diericx,15,Sacro,Estante1 - G3
Dulcis Christe,Michelangelo Grancini,10,Sacro,Estante1 - G3
"Junda, Junda, San Antón",Alberto Grau,1,Popular,Estante1 - G3
Crepuscular,Antonio Lauro,2,Mixto,Estante1 - G3
El perro,Moises Moleiro,8,Popular,Estante1 - G3
"Come, Holy Ghost Got and lord",Martin Lather,2,Gregoriano,Estante1 - G3
Fire in the land,Lena Sanchez Bor,10,Calypso - Voces Oscuras,Estante1 - G3
If ye love me,Thomas tallis,4,Popular,Estante1 - G3
Dreizehn Kanons,Wolfgang Amadeus Mozart,30,Sacro,Estante1 - G3
kyrie,Agneta Skold,1,Sacro,Estante1 - G3
Andante con moto e molto espressivo,Orlando Di Lasso,15,Sacro,Estante1 - G3
In monte oliveti,Ciambattista Martini,30,Sacro,Estante1 - G3
"Heav´n, heav´n",Anónimo,20,Popular,Estante1 - G3
I name so sweet,Alejandro Paliat,12,Popular,Estante1 - G3
Halleluja,G.F Handel,20,Sacro,Estante1 - G3
Gloria,Anónimo,50,Sacro,Estante1 - G3
El san pedro milagroso,Alberto Grau,15,Popular,Estante1 - G3
El san pedro juega chapas,Alberto Grau,15,Popular,Estante1 - G3
El misericordia,Giovanni Pierluigi da Palestino,20,Gregoriano,Estante1 - G3
Esurientes,Giovanni Pierluigi da Palestino,1,Gregoriano,Estante1 - G3
Go down moses,Anónimo,50,Popular,Estante1 - G3
Go tell it on the mountain ,Negro Spintual,50,Popular,Estante1 - G3
Et resurrexit from the Missa tertvi tioni,Anónimo,30,Sacro,Estante1 - G3
